#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-5.521549,22,3.577851,-52.38352391693897,-2.383523916938973,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.4559298,58,3.643094,-51.39798108634449,-1.197981086344491,0.0,0.0,0.0,0.0,0.0,1,-0.2
-5.462878,20,3.667273,-51.54817785528683,-1.548177855286827,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7237234,50,3.7259,-53.76550493298564,-3.765504932985645,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.4835496,31,3.762411,-51.48394392796183,-1.383943927961834,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.489976,17,3.783469,-51.66694654637612,-1.5669465463761192,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.685828,21,3.80916,-53.613112983240626,-3.613112983240626,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.462722,66,3.885181,-51.10800115290533,-1.1080011529053362,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8532248,44,3.934852,-54.61560565886693,-4.615605658866929,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6272416,52,3.993828,-52.284156901921364,-2.284156901921368,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.677595,17,4.015451,-52.88656813870193,-2.886568138701933,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.853503,19,4.038522,-54.65299116632226,-4.552991166322261,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.4967265,22,4.065151,-51.3998063458392,-1.1998063458391997,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.570073,18,4.087507,-52.2012242794803,-2.2012242794803,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.579777,32,4.124549,-52.262737945686034,-2.2627379456860366,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6394067,20,4.148973,-52.9084538181792,-2.908453818179196,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.587645,28,4.182474,-52.44095526212888,-2.440955262128881,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6323533,17,4.203691,-52.9793206374816,-2.9793206374816013,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.4543867,26,4.234534,-51.32993317324576,-1.3299331732457604,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7610717,37,4.276722,-54.15045866734106,-4.150458667341065,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.5368476,22,4.303266,-52.11233709255403,-2.1123370925540224,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.748563,44,4.353894,-53.974217605586304,-3.974217605586304,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.72413,15,4.373394,-53.891705433839974,-3.7917054338399794,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.9066195,82,4.468011,-55.129079142949,-4.829079142949004,0.0,0.0,0.0,0.0,0.0,1,-50.3
-5.8258905,23,4.496755,-54.449160540898504,-4.449160540898504,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.5397263,21,4.52279,-51.849156528983734,-1.7491565289837334,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.860812,32,4.561235,-54.845916700311804,-4.8459167003118075,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6282616,11,4.576521,-52.84157701847174,-2.841577018471746,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.9032307,35,4.618322,-55.39537540400251,-5.2953754040025025,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.6256247,38,4.66469,-52.73061191236611,-2.6306119123661054,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.654945,35,4.70696,-52.955513548069675,-2.955513548069673,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.512739,41,4.753725,-51.516422094758994,-1.5164220947589993,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.877252,13,4.770761,-55.078820376056335,-5.078820376056331,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.776532,13,4.787573,-54.297282197126,-4.197282197126002,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.5686874,17,4.809278,-52.44794050242213,-2.4479405024221235,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.48633,16,4.82949,-51.770644692094216,-1.670644692094216,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.6122923,21,4.854993,-53.024274680002144,-2.9242746800021404,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.479999,33,4.893292,-51.74331420292789,-1.7433142029278965,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.767481,14,4.911269,-54.58881064552337,-4.488810645523367,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.400488,43,4.960583,-51.01005872723011,-1.0100587272301143,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.568406,31,4.996734,-52.57788871337392,-2.577888713373925,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.455928,19,5.020104,-51.57995126972026,-1.4799512697202628,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.493185,43,5.070287,-51.82015962343565,-1.7201596234356513,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7133746,24,5.098665,-53.94121071913832,-3.941210719138315,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.4644146,24,5.127084,-51.62734112648365,-1.6273411264836497,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8769436,31,5.16386,-55.52456074293556,-5.5245607429355665,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7911024,32,5.200868,-54.70449557456031,-4.704495574560308,0.0,0.0,0.0,0.0,0.0,1,0.0
